sigma1,sigma2,mu1,mu2,logit_p
0.773387838,0.20995375,8.115100391,10.12947353,-2.901313966
0.805378753,0.199804424,7.961741541,10.12399364,-2.607385852
0.871800649,0.211754258,8.084075168,10.12458061,-2.935433203
0.700905273,0.225197526,8.167546076,10.14380067,-3.395186347
0.762758412,0.212473336,8.122312442,10.13035712,-3.115031717
0.864352866,0.213078302,7.811880285,10.14036029,-2.558193014
0.644701988,0.220123489,8.214235888,10.14092082,-3.135333026
0.721011515,0.217412779,8.250382534,10.13782372,-3.316178374
0.710147036,0.214608843,7.960661907,10.13298569,-2.744241032
0.79421952,0.210095264,8.303984839,10.12388846,-3.085821128
0.772059505,0.213545838,8.073734043,10.13098962,-3.064426684
0.949133211,0.207375482,8.049789891,10.12860501,-2.87818103
0.799418037,0.20867609,8.108357375,10.1305393,-2.752638457
0.880658229,0.210805238,8.352725533,10.12833168,-3.218137339
0.682734097,0.209597002,8.234005429,10.1255132,-3.374742088
0.88722089,0.217211195,8.24857115,10.1385085,-2.913589653
0.442545312,0.212606705,8.261313196,10.13242153,-3.038022027
1.120307976,0.209104388,8.346107858,10.13698359,-3.003899989
0.833979156,0.224336921,8.073872518,10.14004723,-3.149658549
