Location,Scale
1.2518681012,0.3473261553
1.0615697722,0.4629418572
1.195522088,0.5273718192
1.134213769,0.3830978763
1.1798344549,0.4267649876
1.1843994107,0.4153335547
1.0959681747,0.4173698099
1.1277480974,0.4192412808
1.1279860223,0.4555793479
1.2240401602,0.4467997888
1.0011054081,0.5047380344
1.1670851588,0.4232753992
1.1733734713,0.5124577673
1.1765610752,0.4390851211
1.1440331099,0.5243180074
1.0716791943,0.4336298806
1.12238959,0.4698659211
1.2258478179,0.3738631197
0.9070730631,0.4758074271
1.1450447563,0.4225040514
1.0655181016,0.4290846495
0.9610028724,0.4555809573
1.1851651974,0.4558498812
1.0794873823,0.4309822604
1.139528483,0.4581328093
1.164067935,0.4692936096
1.0018648496,0.4899125169
1.1579732066,0.5341452836
1.1391485843,0.4998443316
1.0869270936,0.4169603384
1.1100869007,0.4045766182
1.047873443,0.43448076
1.0717422401,0.5292541498
1.1170017474,0.4052749237
0.9410047833,0.5244554211
1.1556152088,0.4027869057
1.1740730714,0.3820177142
1.1898825637,0.4356119371
1.0718782413,0.3747452175
1.1531679366,0.4088306519
1.0431363676,0.5105773929
1.0756157256,0.5246971831
1.078025164,0.5868336984
1.0271128772,0.461637918
1.1024534118,0.3628052111
1.0829835203,0.4933631485
1.108534012,0.3609175793
1.1169865013,0.474901773
1.1778484034,0.4561981081
1.229072314,0.433313965
1.1125110096,0.5222298724
1.1057515708,0.4793751811
1.1353048086,0.4221071973
1.0932460716,0.4345041317
1.1225331709,0.4157246267
1.1100806617,0.4268711143
1.139370161,0.531635413
1.0801428707,0.5346306055
1.1737472465,0.3647122571
1.0746938089,0.4743077662
1.0771345226,0.5386495288
0.9906160619,0.4994700376
1.0588493515,0.418305176
1.1277610755,0.493570367
1.0238956053,0.4154533435
1.0712293506,0.5085056003
1.0689946205,0.4129002055
0.9158077135,0.4382042234
1.1224411782,0.4694191082
0.9629291073,0.4393436188
1.17827951,0.4460664633
1.0702776847,0.4473869649
1.2214317621,0.4484202083
1.2840985044,0.4144187097
1.0624378098,0.4002529673
1.0181307749,0.4255027661
1.3008119624,0.4106202484
1.1321621505,0.4889957187
1.0146613256,0.4904104518
1.0204273413,0.4203321107
1.1080673063,0.41730007
1.1567195938,0.4501054269
1.1618909088,0.383082969
1.102937711,0.4822117052
1.0978309297,0.3898981149
1.0555249814,0.4794780257
1.1303093897,0.4641562407
1.1612557013,0.4512164651
1.1772444483,0.342692213
1.2480078404,0.4218116938
0.9995466466,0.5605865582
1.1283647442,0.378206915
1.1974237282,0.5041688507
1.0044373558,0.4181185381
1.0934615084,0.5619770604
1.1835770247,0.3818135795
1.1921521864,0.4003489292
1.0918888826,0.5032999637
1.1608770446,0.4025005289
1.12724181,0.3501500283
0.986655579,0.4459659932
1.0952548931,0.432730197
1.1194328409,0.441985718
1.0891485082,0.4844548417
1.2766664133,0.4395961404
0.8874055866,0.5805856677
1.0721141136,0.4601382227
1.0157847284,0.4505301188
1.0865916874,0.393808021
1.0464818827,0.4813092439
1.1579691955,0.4264934795
1.074938615,0.4839691418
1.1134330035,0.4456511234
1.1466014671,0.3998881811
1.077613678,0.4509487582
0.9935792469,0.4984445666
1.1375745172,0.3410195169
1.0852115116,0.3773978886
1.163748959,0.3882289225
1.0786997905,0.456216427
1.111704176,0.4301074192
1.1963652624,0.5722052339
1.0925896101,0.4291366368
1.1280773486,0.389554443
1.1859511157,0.3461037305
1.185900922,0.4271174043
1.1341915581,0.4809175067
1.0442801946,0.4051324032
1.0488840404,0.4343437141
1.1767238259,0.516773965
1.2104531089,0.4186910345
1.0569909459,0.4117274324
1.1123069108,0.4076221853
1.0489891279,0.3898508664
1.1335039921,0.3705363715
1.1079083785,0.3885417733
1.1288317352,0.4003675295
1.0328391446,0.4217019297
1.2302099085,0.5620535132
1.1334768913,0.3279206341
1.0858424228,0.476991633
0.8999540678,0.5265084056
0.9524039494,0.4761522036
0.9390076207,0.531265271
0.9797720322,0.6412659141
1.1231297068,0.4209867974
1.1431261203,0.426142206
0.9599888442,0.4760020093
1.1374264104,0.4944958788
1.1498877289,0.4456355387
1.1101751746,0.4164166648
1.078389929,0.449590798
1.1046989021,0.3709462229
1.007977291,0.5361643442
1.0907729403,0.4454529913
1.2077768797,0.3455496303
1.0751531293,0.42122982
1.0990537558,0.4228320163
1.2001322133,0.4336950212
1.1466709743,0.4372954142
1.2212649066,0.3724237621
1.0033976777,0.4385503605
1.1937156822,0.4350833613
1.0917277678,0.3854582137
1.1614117634,0.372855421
1.0342644073,0.4394730885
1.040335449,0.6514220244
1.0411031215,0.4737875074
1.2183353699,0.4426202964
1.1623746843,0.4341745669
1.1086597974,0.4764141336
0.9712715124,0.4722394334
0.9133972586,0.4876018663
1.1837409794,0.3844165126
1.1670075205,0.3937325126
1.0939734486,0.4502884375
1.102084494,0.4905714291
1.1536129363,0.4616607953
1.0992013786,0.4252943366
1.1392324565,0.422130947
1.1415554189,0.4274113097
1.0151458881,0.5437633116
1.0151256298,0.4172811689
0.9811747195,0.4584724675
1.0822874366,0.4575747962
1.201528942,0.4345513387
1.2068298126,0.3110716506
1.0912275929,0.487677729
1.0305281523,0.4296636528
0.9954439339,0.5489439488
1.1031628374,0.3788798084
1.075253141,0.4633623457
1.0022320839,0.4898749268
1.0349965389,0.5098808482
0.9178509839,0.4882899283
1.0999081538,0.361047133
1.2242088975,0.4097572717
1.2661380519,0.4595016291
1.1922313116,0.491349005
1.0887595953,0.4355535606
1.0655916953,0.5476333627
1.2263846924,0.5180284501
1.1559744203,0.402253593
1.0799124163,0.433052097
1.3145915376,0.4352824002
1.0558046348,0.4732484402
1.2079000293,0.4328941347
1.2963599309,0.4518612102
1.1268148587,0.4412820644
1.1835947422,0.4268924611
1.3316951256,0.4047261618
1.2635441689,0.4490849139
0.8844203842,0.5675078823
0.9966993988,0.3865159177
1.0542732853,0.4293984862
1.1398230555,0.4561846185
1.105275098,0.4779655026
1.0551655578,0.5008230972
1.1201815802,0.3531446059
1.1667015759,0.374809306
1.1235635557,0.4859077014
0.9690807644,0.5120961099
1.230872901,0.4005960086
1.0459442611,0.4595016949
1.1267430415,0.3491441448
1.1429590224,0.4485915077
1.1546574184,0.3609901059
1.0685483818,0.4749692185
1.1916678646,0.4472801237
1.1000329692,0.4737145048
1.0611545956,0.5916419207
1.0891630023,0.5084917822
1.0265718621,0.4310399206
1.0481840047,0.4178044572
0.9617783185,0.4873485331
1.1723669451,0.4819050562
1.0980058135,0.463681668
1.2141693866,0.4546319039
1.0365513897,0.4012377501
1.0811150161,0.4165487142
1.0998181853,0.4499515489
0.9676416572,0.4028954452
0.9749071294,0.5522495847
1.2020520206,0.5191461555
1.0924478073,0.4148408079
1.1492961202,0.5123897571
1.1828190371,0.4544552564
1.0626345052,0.5091933941
1.361230463,0.4309390733
1.1350960633,0.4200096739
0.9860955882,0.4207782772
1.121897787,0.3907059546
1.1830839469,0.4754158089
1.2129230837,0.5559445562
1.0025376826,0.5028070204
1.1315784936,0.472737604
1.1674749537,0.4290889363
1.1527995029,0.4829242491
1.0784311135,0.4941576767
1.0579091479,0.556275628
1.048395513,0.5365801361
1.1773499996,0.4320172028
1.1881915874,0.4171368218
1.1112057667,0.4774378822
1.0913362825,0.5101448789
0.9900803219,0.4692781197
1.3283017096,0.4111182306
1.064537061,0.4481376076
1.0721875295,0.4241606866
1.0295837829,0.4606204181
1.2008768634,0.4177388979
1.0285719528,0.4557553184
1.1795899835,0.398830635
1.096079154,0.4813954484
1.0856045675,0.4216047808
1.1440719218,0.5402982472
0.9739081495,0.5365209648
1.1643592631,0.5346827707
1.2485546241,0.365171901
1.1538228543,0.4966079405
1.0466834337,0.4196214368
0.9827610853,0.5174426093
1.1432852459,0.4188281619
1.1147751925,0.3767037552
1.1305857972,0.4753418143
1.1345275027,0.4135939552
1.1775154946,0.5174075378
1.098014828,0.4151139016
1.1116348737,0.4417682807
1.0931151009,0.4560984934
1.16444593,0.428286503
1.0539346263,0.4157604891
1.0459526982,0.4838052603
1.1050226879,0.481134073
1.0797256737,0.4903697694
1.0462562044,0.4649227064
1.1713034506,0.3611567013
1.1293819247,0.4283986309
1.1449997104,0.4831043643
1.1382926774,0.4540993449
1.2219048994,0.5165735697
1.0457985272,0.4125647182
1.0068991889,0.3790626647
1.065160718,0.5944487518
1.2052698335,0.5403414767
1.2050686488,0.4245212752
1.180052118,0.4411737065
0.996284718,0.3755909518
1.1666862926,0.366524873
1.0804730358,0.4469273959
1.092368734,0.4703235601
1.1025968456,0.4998184332
1.0858388536,0.498629133
1.1242024665,0.515095022
1.017483023,0.4777026969
1.2761561761,0.3874400824
0.8609886221,0.5653245837
1.0416743477,0.5470911074
1.043854102,0.4524059142
0.9462565655,0.4639887255
1.0931640546,0.4292995968
1.1787257312,0.3962921468
1.004429122,0.4601264549
1.1702434985,0.4414760411
1.1231003837,0.4783101313
1.0685333032,0.389203045
1.1503874385,0.4263562791
1.0638739746,0.4871587675
1.1443500556,0.4151524274
0.9920964538,0.5298324994
1.017001911,0.5085679892
1.1389383767,0.3856962159
1.166868013,0.3877819221
1.1602559154,0.3942990426
1.1090897262,0.3905995522
1.2396621661,0.425917563
1.0926173428,0.3893770311
1.08931922,0.4146152817
1.1788171371,0.4056295706
1.2338125572,0.4223872887
1.0470965719,0.4016839044
1.1286828751,0.4403687836
1.1432206605,0.4211148759
1.1334920503,0.4868314105
1.2006735,0.4697134873
1.0085527001,0.4554976356
1.2805680336,0.3192431861
1.1204404076,0.4074254287
1.16620732,0.4684005269
1.07402978,0.4819191471
1.1818459705,0.4243038809
1.1634528603,0.4473653551
1.03931338,0.5358010658
1.0286929545,0.4224954715
1.0568318612,0.4944315593
1.026078386,0.4348124728
1.2375096462,0.4238485946
1.2176744888,0.3848824255
1.0622050241,0.4423867991
1.1275904123,0.4067670723
1.1687314973,0.454356512
1.0857832925,0.4572073782
1.2149765891,0.4479071175
1.1470688032,0.3532027782
1.0522397172,0.3957941288
1.1735635431,0.4289381712
1.0135582193,0.5070253634
