Location,Scale
2.342994933,0.370358499
2.287397083,0.331148054
2.306405623,0.439201647
2.273345386,0.433879419
2.335319512,0.310750982
2.259043081,0.349945149
2.352752548,0.569154821
2.377333298,0.370284057
2.364056259,0.345762489
2.18511416,0.445949928
2.364158102,0.332198256
2.267138481,0.322796896
2.312032608,0.3700166
2.388212449,0.379959294
2.360516423,0.347907177
2.431435102,0.356470292
2.394475443,0.380838792
2.321780816,0.346613215
2.30222546,0.484856423
2.361661379,0.29515385
2.331027205,0.328174464
2.31101973,0.297005927
2.396849918,0.456786406
2.360021161,0.333710102
2.324496749,0.415567528
2.247842645,0.344683473
2.446629271,0.344458169
2.262628995,0.274302297
2.368818489,0.308664735
2.341053705,0.316634311
2.233906246,0.348402002
2.367278038,0.355508815
2.449752367,0.428577652
2.362595203,0.337388333
2.426443828,0.358525932
2.368496024,0.284115441
2.345716619,0.391369169
2.303324413,0.322341174
2.402091409,0.465908449
2.286111271,0.310322184
2.276913045,0.409555365
2.367696882,0.329159228
2.289585762,0.345241401
2.411052722,0.283807285
2.374369788,0.408363597
2.306053455,0.366191168
2.416148283,0.293416473
2.405720635,0.339980946
2.315256218,0.337007532
2.321164721,0.328347126
2.343737707,0.434013433
2.211294336,0.313766862
2.287308141,0.339532706
2.24228439,0.422813115
2.307189712,0.327517494
2.386152607,0.345153381
2.296775076,0.350390066
2.311317969,0.322653814
2.40756043,0.334687628
2.257277509,0.397604069
2.340475044,0.328132453
2.348161983,0.312591644
2.349041844,0.329381287
2.484342631,0.47017277
2.238924857,0.312033463
2.335210679,0.342353483
2.328984061,0.348312339
2.425306017,0.368281784
2.362990223,0.299263828
2.391753937,0.309051418
2.287897454,0.315467465
2.239999032,0.258114452
2.384851026,0.342536458
2.231550282,0.389644123
2.488358341,0.455299783
2.351864613,0.337323238
2.397422343,0.331361633
2.275053684,0.343056186
2.357090662,0.309923543
2.294522423,0.423144853
2.34449785,0.352065988
2.40613845,0.327474777
2.293583037,0.388568871
2.332014534,0.379543657
2.381066491,0.384898974
2.25814608,0.315714979
2.343515581,0.399920463
2.362772917,0.405582497
2.369702726,0.305292569
2.384330376,0.355393213
2.354318469,0.291912465
2.263239259,0.253646161
2.280426164,0.356311244
2.374187383,0.387543755
2.359666014,0.325185292
2.438182553,0.347211766
2.276444698,0.398831278
2.372076962,0.316257532
2.322118316,0.293304721
2.287337573,0.281391653
2.264454055,0.314792583
2.266824227,0.351368368
2.282169866,0.327182445
2.398166642,0.425055619
2.369497172,0.296626275
2.343202567,0.331065458
2.366508226,0.389263044
2.411136249,0.330807865
2.254376021,0.339992382
2.37036643,0.306620728
2.344937032,0.448602801
2.360215571,0.353083347
2.283801037,0.320210415
2.310628312,0.314653028
2.317644554,0.316469756
2.329666567,0.422604662
2.392627964,0.409575392
2.399425535,0.418521244
2.368958515,0.337190237
2.290108224,0.355482709
2.343666595,0.372052905
2.285583049,0.318592688
2.264053982,0.364696549
2.226027195,0.332790898
2.372844792,0.313522418
2.311945721,0.370739428
2.33380044,0.364033681
2.383928377,0.505776323
2.296804854,0.394947008
2.260431078,0.35099286
2.320467858,0.32665812
2.378277245,0.329852337
2.404009611,0.322709249
2.432039733,0.41737252
2.294370129,0.366619208
2.349751026,0.304409236
2.285089487,0.359004536
2.364291636,0.287195597
2.341630083,0.311509608
2.326590401,0.385176092
2.361683851,0.346188169
2.330646219,0.331093113
2.380861944,0.38228703
2.35413033,0.297016476
2.373737391,0.303747296
2.329419825,0.342807932
2.303329935,0.328358381
2.384826677,0.309736302
2.462656374,0.322231362
2.296848313,0.42804106
2.253120107,0.337085389
2.273172871,0.339000428
2.190658405,0.41270223
2.34405815,0.362273872
2.34489583,0.407740628
2.367292505,0.417143078
2.34016102,0.394276752
2.14221996,0.430596204
2.310089097,0.33364547
2.348037992,0.300816987
2.303316042,0.324920623
2.375409139,0.335742448
2.25150514,0.384310032
2.263432439,0.352773738
2.356481267,0.36433855
2.325905165,0.308865349
2.252121487,0.311312579
2.304391318,0.304151631
2.350700978,0.39711675
2.322379498,0.390822226
2.248593853,0.40269208
2.440566918,0.392398255
2.259553086,0.343366078
2.335796768,0.380136105
2.208600319,0.339944271
2.236925004,0.299923605
2.341803933,0.410971618
2.417776482,0.445019273
2.426381247,0.362019851
2.320204539,0.337348189
2.257927892,0.388911618
2.366380117,0.336710122
2.299296614,0.40081558
2.310597375,0.33319622
2.453813711,0.369882913
2.32398853,0.321721624
2.434189456,0.409243576
2.288485475,0.368611587
2.352718088,0.316831504
2.345039181,0.395423309
2.294270443,0.269171095
2.251632596,0.365770865
2.302177116,0.336366474
2.260810692,0.34206236
