Location,Scale
0.6666032962,0.5586526048
0.7087183502,0.4878097398
0.9463049883,0.4554963603
0.782232174,0.521128435
0.9024888843,0.5181760451
0.8794987301,0.478746561
0.7195583028,0.5480495524
0.7023192105,0.4873499784
0.9441588458,0.5132080014
0.7966884024,0.5891414236
0.7506779257,0.5246750417
0.8088925224,0.5303310635
0.8899563298,0.6111931285
0.8272108423,0.4752738845
1.0260063352,0.5305219448
0.6926622771,0.5482126668
0.9903220225,0.6061449111
0.8723407361,0.3878471745
1.0217619981,0.516157456
0.7993379209,0.4495320535
0.828352702,0.5155632985
0.9213970441,0.5321402366
0.8287143304,0.5120108995
0.8771792556,0.5897339065
0.9355831753,0.5705129731
0.8334778194,0.6699743925
0.9283365137,0.6135545247
0.8682333813,0.4315284117
0.7763271978,0.5483814832
0.9779680639,0.485235812
0.7132339893,0.5195944692
0.8125241126,0.4653344407
0.7169635882,0.5953947604
0.8966289567,0.5129688008
0.8819878528,0.6228748648
0.7089977744,0.4881145863
0.7313685251,0.7605530058
0.9662687079,0.4883801774
0.7591955129,0.5267859731
0.8942467048,0.5555776936
0.7459416871,0.5606018745
0.79615034,0.522701015
0.8679737561,0.4651877432
0.9038780119,0.4284426725
0.8954999735,0.4422615134
0.7123192607,0.5257326454
0.9908922868,0.5892290846
0.7889032894,0.5027210768
0.9573198024,0.4722070941
0.8070490526,0.5405030397
0.9464226702,0.5323048395
0.8846092577,0.4823860591
0.8919744863,0.4093848587
0.8340460662,0.5312027754
0.9482982398,0.5861111614
1.1088246154,0.529126583
0.9042928861,0.5026130318
0.871266538,0.5346857565
0.9399424899,0.5908196214
0.882206706,0.5509114505
0.8640254214,0.4405956296
0.8970653249,0.4496061138
0.7100074293,0.5925919822
0.8517161101,0.4847148496
0.8337787628,0.4277922068
0.8282091035,0.6174232598
0.6925526545,0.6800531041
0.8562388838,0.4674702784
0.6839699503,0.4401220091
0.8055196722,0.473770764
0.8566491548,0.4723055535
0.9280669572,0.5254378284
0.973110944,0.4982775009
0.7030758426,0.6627085794
0.8908402287,0.4587971294
0.7421151712,0.5379169089
0.8574118135,0.4626939279
0.945415607,0.4457001708
1.038049512,0.615570425
0.9746782768,0.5547046344
0.8324255769,0.4409745422
0.8009881318,0.5183995742
0.8736879639,0.6522053839
0.8942758914,0.4466318177
0.9573018866,0.5209421749
1.0008216528,0.5458545421
1.0208934877,0.4545006764
0.7682682108,0.4672207529
0.8480178444,0.6132520003
0.7614224743,0.4486280573
0.9520449862,0.6378075881
0.9580235547,0.4199022541
0.7800541478,0.42755509
0.934148879,0.4377305765
